,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
56,LAKE,ASSAM,18.0,36.0,5.3,9.3,6.8,8.0,1.8,2.5,620.0,1100.0
57,LAKE,ASSAM,18.0,30.0,0.3,4.6,7.0,7.5,10.6,19.2,2700.0,3600.0
58,LAKE,ASSAM,20.0,24.0,4.5,6.9,6.8,7.3,2.0,2.8,910.0,1200.0
59,LAKE,ASSAM,19.0,30.0,0.3,1.1,7.0,7.5,14.6,25.8,4200.0,5300.0
60,POND,ASSAM,19.0,23.0,4.1,5.6,6.8,7.3,2.0,2.9,910.0,1300.0
61,POND,ASSAM,18.0,32.0,5.0,7.6,6.7,7.8,1.8,2.7,730.0,1200.0
62,POND,ASSAM,22.0,34.0,6.1,10.9,6.8,7.8,2.0,2.6,720.0,2000.0
63,POND,ASSAM,20.0,34.0,5.2,7.9,6.8,7.5,1.9,2.8,700.0,910.0
64,POND,ASSAM,21.0,36.0,5.1,8.4,6.8,7.8,2.1,2.8,700.0,1100.0
65,POND,ASSAM,20.0,36.0,5.1,10.0,7.9,8.2,2.3,2.8,1400.0,1600.0
66,POND,ASSAM,22.0,35.0,5.4,10.1,7.0,7.9,2.0,2.6,600.0,1400.0
67,POND,ASSAM,22.0,35.0,5.0,7.5,6.7,7.5,1.6,2.7,730.0,1500.0
68,POND,ASSAM,21.0,30.0,6.8,7.3,6.8,7.6,2.0,2.7,910.0,1200.0
69,POND,ASSAM,21.0,35.0,5.7,8.1,6.7,7.5,2.0,2.8,600.0,1500.0
70,POND,ASSAM,20.0,34.0,7.0,7.3,6.8,7.5,2.0,2.5,730.0,1600.0
71,POND,ASSAM,20.0,32.0,5.1,7.6,6.9,7.6,1.8,2.6,600.0,910.0
72,POND,ASSAM,20.0,31.0,5.0,7.7,6.9,7.8,2.1,2.8,1400.0,2000.0
73,POND,ASSAM,22.0,35.0,5.0,5.4,6.9,7.6,1.8,2.5,720.0,1600.0
74,POND,ASSAM,22.0,35.0,5.6,7.6,6.7,7.4,2.1,2.6,720.0,730.0
75,POND,ASSAM,20.0,34.0,6.8,7.2,6.9,7.6,2.2,2.7,600.0,1500.0
76,POND,ASSAM,23.0,38.0,5.1,5.4,6.9,7.5,2.0,2.5,910.0,1300.0
77,POND,ASSAM,22.0,35.0,5.0,5.5,6.9,7.4,2.0,2.6,730.0,1400.0
78,POND,ASSAM,23.0,36.0,5.3,7.9,6.9,7.9,2.0,2.7,720.0,1100.0
79,POND,ASSAM,22.0,24.0,5.1,6.2,6.5,7.2,2.3,2.9,910.0,1400.0
80,POND,ASSAM,21.0,34.0,5.2,7.9,6.8,7.6,2.0,2.8,730.0,1100.0
81,POND,ASSAM,20.0,32.0,5.0,8.5,6.8,7.6,2.2,2.8,1100.0,2000.0
82,POND,ASSAM,21.0,35.0,5.2,8.1,6.6,7.7,1.9,2.5,730.0,1500.0
83,POND,ASSAM,22.0,36.0,5.0,7.8,6.6,7.4,2.0,2.6,620.0,910.0
84,MARINE,ANDHRA PRADESH,21.0,34.0,5.0,8.0,7.2,8.1,1.6,2.4,64.0,95.0
85,MARINE,ANDHRA PRADESH,25.0,32.0,5.3,8.5,7.4,8.1,1.6,2.5,64.0,95.0
86,BEACH,ANDHRA PRADESH,26.0,29.0,5.0,8.2,7.1,8.5,1.5,2.2,64.0,120.0
87,BEACH,ANDHRA PRADESH,24.0,29.0,3.2,7.0,7.0,7.9,0.5,2.8,49.0,93.0
88,SEA,ANDHRA PRADESH,23.0,29.0,3.8,7.2,7.0,8.0,1.9,3.0,64.0,120.0
89,SEA,ANDHRA PRADESH,23.0,30.0,2.0,6.6,7.0,8.0,2.2,5.8,75.0,120.0
90,MARINE,ANDHRA PRADESH,24.0,30.0,4.5,7.8,7.0,8.2,1.5,3.5,64.0,120.0
91,BEACH,ANDHRA PRADESH,25.0,30.0,3.4,5.3,7.0,7.8,2.0,2.8,43.0,120.0
92,MARINE,ANDHRA PRADESH,21.0,25.0,3.6,5.3,7.1,8.0,2.0,2.8,43.0,120.0
93,BEACH,ANDHRA PRADESH,22.0,25.0,3.6,5.9,7.1,8.0,2.2,2.8,23.0,93.0
94,BEACH,ANDHRA PRADESH,22.0,25.0,3.5,5.7,6.8,8.0,2.4,2.8,23.0,120.0
95,MARINE,ANDHRA PRADESH,18.0,23.0,3.7,5.6,7.1,8.0,2.4,2.8,23.0,120.0
96,CREEK,GOA,25.0,32.0,4.2,8.0,6.6,7.7,0.5,2.4,1100.0,4900.0
97,BEACH,GOA,27.0,31.0,6.4,7.7,7.6,8.2,0.5,1.9,49.0,920.0
98,BEACH,GOA,27.0,29.0,6.0,7.5,7.0,8.0,0.5,2.0,33.0,350.0
99,BEACH,GOA,27.0,30.0,6.1,7.0,6.5,7.9,1.1,1.9,130.0,280.0
100,BEACH,GOA,28.0,31.0,6.0,7.7,7.7,8.3,0.5,1.9,23.0,920.0
101,BEACH,GOA,27.0,32.0,5.8,7.1,6.7,7.8,0.5,1.9,33.0,540.0
102,CANAL,ANDHRA PRADESH,22.0,29.0,2.8,6.0,6.8,8.6,2.0,3.8,120.0,210.0
103,CANAL,ANDHRA PRADESH,24.0,30.0,1.8,6.5,6.6,8.0,3.8,5.2,210.0,460.0
104,CANAL,ANDHRA PRADESH,24.0,26.0,5.4,6.6,7.2,7.9,3.2,6.0,460.0,470.0
105,CANAL,ANDHRA PRADESH,25.0,29.0,5.5,8.0,6.7,7.9,1.4,2.2,93.0,120.0
106,CANAL,ANDHRA PRADESH,22.0,28.0,2.3,6.5,7.1,7.7,1.6,4.2,150.0,240.0
107,CANAL,ANDHRA PRADESH,23.0,27.0,2.2,8.5,7.0,8.1,1.3,3.8,120.0,240.0
108,CANAL,DELHI,17.0,27.0,0.15,1.4,7.1,7.8,26.0,77.0,790000.0,14000000.0
109,CANAL,GOA,27.0,31.0,5.0,8.1,6.1,7.9,0.5,2.8,1300.0,3300.0
110,CANAL,GOA,27.0,31.0,4.5,8.0,6.4,7.8,0.5,2.1,1700.0,4900.0
