,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,pH - Min,pH - Max,water_quality
77,POND,ASSAM,22.0,35.0,5.0,6.9,7.4,2
78,POND,ASSAM,23.0,36.0,5.3,6.9,7.9,2
79,POND,ASSAM,22.0,24.0,5.1,6.5,7.2,2
80,POND,ASSAM,21.0,34.0,5.2,6.8,7.6,2
81,POND,ASSAM,20.0,32.0,5.0,6.8,7.6,2
82,POND,ASSAM,21.0,35.0,5.2,6.6,7.7,2
83,POND,ASSAM,22.0,36.0,5.0,6.6,7.4,2
84,MARINE,ANDHRA PRADESH,21.0,34.0,5.0,7.2,8.1,2
85,MARINE,ANDHRA PRADESH,25.0,32.0,5.3,7.4,8.1,2
86,BEACH,ANDHRA PRADESH,26.0,29.0,5.0,7.1,8.5,2
87,BEACH,ANDHRA PRADESH,24.0,29.0,3.2,7.0,7.9,0
88,SEA,ANDHRA PRADESH,23.0,29.0,3.8,7.0,8.0,0
89,SEA,ANDHRA PRADESH,23.0,30.0,2.0,7.0,8.0,0
90,MARINE,ANDHRA PRADESH,24.0,30.0,4.5,7.0,8.2,0
91,BEACH,ANDHRA PRADESH,25.0,30.0,3.4,7.0,7.8,0
92,MARINE,ANDHRA PRADESH,21.0,25.0,3.6,7.1,8.0,0
93,BEACH,ANDHRA PRADESH,22.0,25.0,3.6,7.1,8.0,0
94,BEACH,ANDHRA PRADESH,22.0,25.0,3.5,6.8,8.0,0
95,MARINE,ANDHRA PRADESH,18.0,23.0,3.7,7.1,8.0,0
96,CREEK,GOA,25.0,32.0,4.2,6.6,7.7,2
97,BEACH,GOA,27.0,31.0,6.4,7.6,8.2,2
98,BEACH,GOA,27.0,29.0,6.0,7.0,8.0,2
99,BEACH,GOA,27.0,30.0,6.1,6.5,7.9,2
100,BEACH,GOA,28.0,31.0,6.0,7.7,8.3,2
101,BEACH,GOA,27.0,32.0,5.8,6.7,7.8,2
102,CANAL,ANDHRA PRADESH,22.0,29.0,2.8,6.8,8.6,0
103,CANAL,ANDHRA PRADESH,24.0,30.0,1.8,6.6,8.0,0
104,CANAL,ANDHRA PRADESH,24.0,26.0,5.4,7.2,7.9,0
105,CANAL,ANDHRA PRADESH,25.0,29.0,5.5,6.7,7.9,2
106,CANAL,ANDHRA PRADESH,22.0,28.0,2.3,7.1,7.7,0
107,CANAL,ANDHRA PRADESH,23.0,27.0,2.2,7.0,8.1,0
